user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
13e4c7c9-df7d-4687-a0e3-61fee1961135,DeviceInfo,application,2026-01-09 20:02:54.382000+05:30,2026-01-09,Friday,'20:02:54.382000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Session Started,system,2026-01-09 20:02:56.014000+05:30,2026-01-09,Friday,'20:02:56.014000
13e4c7c9-df7d-4687-a0e3-61fee1961135,App Installed,system,2026-01-09 20:02:56.059000+05:30,2026-01-09,Friday,'20:02:56.059000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Push Subscribe Process - Device Registered (Push),system,2026-01-09 20:02:56.861000+05:30,2026-01-09,Friday,'20:02:56.861000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Started,system,2026-01-09 20:02:57.096000+05:30,2026-01-09,Friday,'20:02:57.096000
13e4c7c9-df7d-4687-a0e3-61fee1961135,app_start,application,2026-01-09 20:03:09.858000+05:30,2026-01-09,Friday,'20:03:09.858000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Session Started,system,2026-01-09 20:52:23.337000+05:30,2026-01-09,Friday,'20:52:23.337000
13e4c7c9-df7d-4687-a0e3-61fee1961135,choose_language,application,2026-01-09 20:52:35.210000+05:30,2026-01-09,Friday,'20:52:35.210000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Onboarding_Language,application,2026-01-09 20:52:35.228000+05:30,2026-01-09,Friday,'20:52:35.228000
13e4c7c9-df7d-4687-a0e3-61fee1961135,choose_language,application,2026-01-09 20:52:37.286000+05:30,2026-01-09,Friday,'20:52:37.286000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Onboarding_Language,application,2026-01-09 20:52:37.303000+05:30,2026-01-09,Friday,'20:52:37.303000
13e4c7c9-df7d-4687-a0e3-61fee1961135,choose_language,application,2026-01-09 20:52:38.051000+05:30,2026-01-09,Friday,'20:52:38.051000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Onboarding_Language,application,2026-01-09 20:52:38.066000+05:30,2026-01-09,Friday,'20:52:38.066000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Started,system,2026-01-09 20:52:38.898000+05:30,2026-01-09,Friday,'20:52:38.898000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Ended,system,2026-01-09 20:52:38.898000+05:30,2026-01-09,Friday,'20:52:38.898000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Started,system,2026-01-09 20:52:38.916000+05:30,2026-01-09,Friday,'20:52:38.916000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Ended,system,2026-01-09 20:52:38.916000+05:30,2026-01-09,Friday,'20:52:38.916000
13e4c7c9-df7d-4687-a0e3-61fee1961135,generate_otp,application,2026-01-09 20:53:16.111000+05:30,2026-01-09,Friday,'20:53:16.111000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Onboarding_get_otp,application,2026-01-09 20:53:16.132000+05:30,2026-01-09,Friday,'20:53:16.132000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Started,system,2026-01-09 20:53:17.336000+05:30,2026-01-09,Friday,'20:53:17.336000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Journey Ended,system,2026-01-09 20:53:17.336000+05:30,2026-01-09,Friday,'20:53:17.336000
13e4c7c9-df7d-4687-a0e3-61fee1961135,_auth_generate-otp,application,2026-01-09 20:53:18.835000+05:30,2026-01-09,Friday,'20:53:18.835000
13e4c7c9-df7d-4687-a0e3-61fee1961135,get_otp,application,2026-01-09 20:53:18.848000+05:30,2026-01-09,Friday,'20:53:18.848000
13e4c7c9-df7d-4687-a0e3-61fee1961135,Onboarding_signup_,application,2026-01-09 20:53:18.855000+05:30,2026-01-09,Friday,'20:53:18.855000
13e4c7c9-df7d-4687-a0e3-61fee1961135,verify_otp,application,2026-01-09 20:53:23.234000+05:30,2026-01-09,Friday,'20:53:23.234000
13e4c7c9-df7d-4687-a0e3-61fee1961135,_auth_verify-otp,application,2026-01-09 20:53:24.554000+05:30,2026-01-09,Friday,'20:53:24.554000
