user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e40443d0-8b8d-44b8-b752-11024d6681db,App Installed,system,2026-01-08 00:04:31.573000+05:30,2026-01-08,Thursday,'00:04:31.573000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_Live Chat Icon,application,2026-01-08 00:09:52.329000+05:30,2026-01-08,Thursday,'00:09:52.329000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:08:55.088000+05:30,2026-01-08,Thursday,'00:08:55.088000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:09:00.606000+05:30,2026-01-08,Thursday,'00:09:00.606000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:09:27.423000+05:30,2026-01-08,Thursday,'00:09:27.423000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:09:30.698000+05:30,2026-01-08,Thursday,'00:09:30.698000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:09:47.318000+05:30,2026-01-08,Thursday,'00:09:47.318000
e40443d0-8b8d-44b8-b752-11024d6681db,Buslist_date change,application,2026-01-08 00:09:50.800000+05:30,2026-01-08,Thursday,'00:09:50.800000
e40443d0-8b8d-44b8-b752-11024d6681db,DeviceInfo,application,2026-01-08 00:04:31.053000+05:30,2026-01-08,Thursday,'00:04:31.053000
e40443d0-8b8d-44b8-b752-11024d6681db,Journey Ended,system,2026-01-08 00:05:44.117000+05:30,2026-01-08,Thursday,'00:05:44.117000
e40443d0-8b8d-44b8-b752-11024d6681db,Journey Ended,system,2026-01-08 06:25:16.976000+05:30,2026-01-08,Thursday,'06:25:16.976000
e40443d0-8b8d-44b8-b752-11024d6681db,Journey Started,system,2026-01-08 00:04:51.243000+05:30,2026-01-08,Thursday,'00:04:51.243000
e40443d0-8b8d-44b8-b752-11024d6681db,Journey Started,system,2026-01-08 00:05:44.117000+05:30,2026-01-08,Thursday,'00:05:44.117000
